Sample,SRS,GPS,STS,UMS,SPS,SWS,BRS,SOLIDS,PH,TA,ALCOHOL,LPP,SPP,TANNINS,PHENOLICS,PROTEINS,MANNOPR
19,1147.117886,2966.676171,1042.555757,1308.806357,1226.167843,1115.532771,828.2302714,8.6,3.86,0.51,13.68,0.896,1.346,311,143,135.01,88.72
19,1147.902429,2979.170743,1047.3066,1312.700014,1231.034914,1114.559357,835.3492714,8.6,3.85,0.51,13.68,0.952,1.354,311,146,136.01,105.74
19,1152.638743,2992.798543,1050.110614,1266.833314,1234.158557,1114.908043,842.1050571,8.5,3.86,0.52,13.68,0.944,1.371,304,147,127.01,158.32
20,1236.410486,2043.487157,784.6009714,836.8602429,1107.091671,1128.012814,1464.7851,8.1,3.79,0.5,13.2,0.664,1.354,169,92,71.01,33.07
20,1237.935986,2052.1026,782.7849,837.3251571,1109.474357,1127.606014,1465.874743,8.1,3.79,0.51,13.2,0.672,1.406,177,100,52.01,0
20,1241.0451,2057.303829,787.1289429,845.2868143,1117.566771,1127.853,1475.507186,8.1,3.79,0.5,13.2,0.6,1.423,179,97,58.01,0
21,1183.671771,2337.836014,833.6203714,-750.8656286,2048.688386,1141.074,777.9759429,8.9,3.59,0.59,13.68,1.024,1.166,461,166,64.01,92.08
21,1181.812114,2336.630143,836.6713714,-746.1147857,3168.187457,1148.251114,784.4556857,8.9,3.59,0.59,13.68,1.128,1.14,471,159,73.01,117.62
21,1179.066214,2334.799543,831.7897714,-748.1778429,2581.334871,1146.827314,782.2473429,8.9,3.59,0.61,13.68,1.08,1.183,481,169,79.01,85.5
22,893.1729857,1913.848714,789.8022,652.1439857,914.6462143,1041.044786,1554.600729,8.8,3.72,0.62,13.4,1.304,0.677,919,288,67.01,22.17
22,900.3210429,1925.645914,797.2117714,654.4685571,916.8109714,1038.996257,1558.799486,8.8,3.71,0.63,13.2,1.104,0.729,935,306,45,67.22
22,901.6722,1932.140186,800.3354143,658.3041,921.4310571,1039.867971,1558.029471,8.7,3.73,0.63,13.4,1.168,0.729,918,285,60.01,131.56
23,915.2128286,1963.056986,800.6550429,663.6070286,921.5327571,1050.008914,1573.022957,8.3,3.53,0.61,13.5,1.128,0.669,806,283,67.01,130.16
23,910.9995429,1964.320971,796.6161,667.9365429,926.2836,1051.200257,1603.663714,8.3,3.53,0.51,13.5,1.064,0.797,867,288,79.01,54.99
23,910.4910429,1966.529314,786.2572286,653.7276,910.3167,1045.316186,1589.8761,8.2,3.54,0.51,14,1.096,0.737,840,287,70.01,55.24
24,1225.514057,1966.631014,826.6757143,852.6963857,1107.948857,1114.806343,1444.3434,8.3,3.57,0.59,12,0.2,0.926,263,131,107.01,264.49
24,1228.870157,1967.560843,829.0002857,858.0574286,1114.472186,1114.370486,1446.203057,8.3,3.57,0.61,12,0.168,0.943,253,128,117.01,197.02
24,1229.945271,1968.650486,828.5208429,857.2874143,1113.876514,1114.980686,1439.519914,8.3,3.56,0.6,12,0.224,0.917,256,126,106.01,167.29
25,782.3635714,2636.194757,759.4810714,1173.356486,1237.906929,1035.320529,-577.9611,8.6,3.47,0.64,13.2,1.144,1.243,475,167,82.01,78.05
