Sample,SRS,GPS,STS,UMS,SPS,SWS,BRS,SOLIDS,PH,TA,ALCOHOL,LPP,SPP,TANNINS,PHENOLICS,PROTEINS,MANNOPR
GE-09,923.610342857143,2242.73198571429,745.214014285714,556.371642857143,898.5195,1038.63304285714,1576.43717142857,8.5,3.92,0.74,13.4,1.264,1.8,493,250,163.02,53.65
GH-11,786.504214285714,2658.36535714286,765.539485714286,1179.70547142857,1233.5193,1037.73227142857,-584.324614285714,8.2,3.48,0.59,13,0.52,1.114,194,96,104.01,40.41
GH-11,786.780257142857,2651.27541428571,761.6313,1185.76388571429,1240.39131428571,1040.56534285714,-586.038985714286,8.2,3.48,0.6,13.2,0.52,1.131,190,91,93.01,19.95
GH-11,784.8189,2644.35981428571,762.808114285714,1188.48072857143,1243.54401428571,1039.51928571429,-587.186742857143,8.2,3.48,0.59,13.2,0.48,1.157,203,93,114.01,7.60
GV-11,1000.94592857143,2480.28865714286,800.800328571429,33.2123142857143,937.5723,1072.70254285714,1545.60754285714,8.1,3.64,0.54,14,1.504,1.474,364,124,83.01,222.13
GV-11,1001.61424285714,2480.55017142857,803.6334,34.0695,939.998571428571,1072.1214,1546.08698571429,8.1,3.64,0.56,14.2,1.512,1.517,378,126,66.01,283.29
GV-11,999.187971428571,2479.8528,802.630928571429,33.9823285714286,941.291614285714,1072.07781428571,1548.19362857143,8.1,3.64,0.56,14,1.52,1.517,383,131,73.01,76.18
HHH-09,1201.19322857143,3264.11961428571,1050.13967142857,1545.9417,1266.4701,1108.45735714286,863.810742857143,8.2,3.76,0.57,14.2,1.52,1.371,604,197,79.01,160.23
HHH-09,1198.69431428571,3264.96227142857,1049.71834285714,1524.94791428571,1268.25711428571,1108.92227142857,873.065442857143,8.2,3.76,0.58,14.2,1.68,1.311,603,204,93.01,253.51
HHH-09,1196.47144285714,3272.76411428571,1036.61357142857,1524.55564285714,1252.69701428571,1105.13031428571,863.897914285714,8.2,3.76,0.57,14.2,1.632,1.32,601,199,86.01,99.97
Ho-11,1196.79107142857,2335.46785714286,851.592214285714,-711.333385714286,1680.33098571429,1133.955,777.525557142857,8,3.7,0.54,12.8,0.472,0.771,366,145,43.00,319.75
Ho-11,1197.40127142857,2339.14358571429,846.274757142857,-707.149157142857,1679.41568571429,1134.50708571429,777.612728571429,8,3.71,0.53,12.8,0.528,0.763,354,156,57.01,365.30
Ho-11,1198.27298571429,2344.03971428571,849.238585714286,-710.999228571429,1672.89235714286,1133.59178571429,778.1067,7.9,3.69,0.54,12.8,0.512,0.797,356,148,52.01,268.91
JW-08,841.930714285714,1922.4351,792.170357142857,673.181357142857,901.425214285714,1062.69235714286,1570.52404285714,8.5,3.21,0.75,14.2,1.384,0.806,631,190,74.01,118.09
JW-08,839.983885714286,1909.83882857143,792.286585714286,674.271,906.568328571429,1062.51801428571,1573.98184285714,8.5,3.22,0.75,14.8,1.416,0.857,677,180,61.01,79.47
JW-08,836.773071428571,1898.95692857143,794.800028571428,677.670685714286,909.735557142857,1063.25897142857,1569.97195714286,8.5,3.22,0.75,14.2,1.536,0.831,648,184,69.01,205.16
Ke-09,980.4897,2456.02594285714,797.516871428571,17.8410857142857,920.036314285714,1066.07751428571,1528.71081428571,8,3.61,0.55,14,1.088,1.209,394,151,79.01,88.77
Ke-09,981.172542857143,2456.53444285714,802.689042857143,25.3378285714286,929.261957142857,1067.47225714286,1529.96027142857,8,3.61,0.54,14,1.176,1.191,388,154,90.01,307.38
Ke-09,981.768214285714,2459.35298571429,795.715328571429,11.6373857142857,916.287942857143,1063.89822857143,1516.20171428571,8,3.6,0.55,14,1.152,1.217,384,159,82.01,95.30
